Line 6: Token TK_FUNID, Lexeme _computeFunctionValue
Line 11: Token TK_DIV, Lexeme /
Line 11: Token TK_NUM, Lexeme 4
Line 11: Token TK_SEM, Lexeme ;
Line 12: Token TK_ID, Lexeme c4bbb
Line 12: Token TK_ASSIGNOP, Lexeme <---
Line 12: Token TK_OP, Lexeme (
Line 12: Token TK_OP, Lexeme (
Line 12: Token TK_ID, Lexeme d4cbcd5677
Line 12: Token TK_MINUS, Lexeme -
Line 12: Token TK_RNUM, Lexeme 2.35
Line 12: Token TK_CL, Lexeme )
Line 12: Token TK_MUL, Lexeme *
Line 12: Token TK_OP, Lexeme (
Line 12: Token TK_NUM, Lexeme 2345
Line 12: Token TK_MINUS, Lexeme -
Line 12: Token TK_NUM, Lexeme 234
Line 12: Token TK_MUL, Lexeme *
Line 12: Token TK_NUM, Lexeme 8
Line 12: Token TK_CL, Lexeme )
Line 12: Token TK_CL, Lexeme )
Line 12: Token TK_PLUS, Lexeme +
Line 12: Token TK_NUM, Lexeme 5
Line 12: Token TK_MUL, Lexeme *
Line 12: Token TK_ID, Lexeme c3
Line 12: Token TK_SEM, Lexeme ;
Line 13: Token TK_IF, Lexeme if
Line 13: Token TK_OP, Lexeme (
Line 13: Token TK_OP, Lexeme (
Line 13: Token TK_NOT, Lexeme ~
Line 13: Token TK_OP, Lexeme (
Line 13: Token TK_ID, Lexeme c4bbb
Line 13: Token TK_EQ, Lexeme ==
Line 13: Token TK_NUM, Lexeme 0
Line 13: Token TK_CL, Lexeme )
Line 13: Token TK_CL, Lexeme )
Line 13: Unknown pattern && 
Line 13: Token TK_OP, Lexeme (
Line 13: Token TK_ID, Lexeme c4bbb
Line 13: Token TK_GT, Lexeme >
Line 13: Token TK_RNUM, Lexeme 78.56
Line 13: Token TK_CL, Lexeme )
Line 13: Token TK_CL, Lexeme )
Line 14: Token TK_THEN, Lexeme then
Line 15: Token TK_ID, Lexeme c6
Line 15: Token TK_ASSIGNOP, Lexeme <---
Line 15: Token TK_ID, Lexeme d4cbcd5677
Line 15: Token TK_DIV, Lexeme /
Line 15: Token TK_ID, Lexeme c4bbb
Line 16: Token TK_ELSE, Lexeme else
Line 17: Token TK_WRITE, Lexeme write
Line 17: Token TK_OP, Lexeme (
Line 17: Token TK_ID, Lexeme c4bbb
Line 17: Token TK_CL, Lexeme )
Line 17: Token TK_SEM, Lexeme ;
Line 18: Token TK_ENDIF, Lexeme endif
Line 20: Token TK_END, Lexeme end
Line 24: Token TK_MAIN, Lexeme _main
Line 25: Token TK_TYPE, Lexeme type
Line 25: Token TK_INT, Lexeme int
Line 25: Token TK_ID, Lexeme b5
Line 25: Token TK_SEM, Lexeme ;
Line 26: Token TK_TYPE, Lexeme type
Line 26: Token TK_INT, Lexeme int
Line 26: Token TK_COLON, Lexeme :
Line 26: Token TK_ID, Lexeme d5cb34567
Line 26: Token TK_SEM, Lexeme ;
Line 27: Token TK_TYPE, Lexeme type
Line 27: Token TK_INT, Lexeme int
Line 27: Token TK_COLON, Lexeme :
Line 27: Token TK_ID, Lexeme b3b444
Line 27: Token TK_COLON, Lexeme :
Line 27: Token TK_GLOBAL, Lexeme global
Line 27: Token TK_SEM, Lexeme ;
Line 28: Token TK_TYPE, Lexeme type
Line 28: Unknown symbol $ 
Line 28: Token TK_REAL, Lexeme real
Line 28: Token TK_COLON, Lexeme :
Line 28: Token TK_ID, Lexeme c3
Line 28: Token TK_SEM, Lexeme ;
Line 29: Token TK_ID, Lexeme b5
Line 29: Unknown pattern <-- 
Line 29: Token TK_NUM, Lexeme 1
Line 29: Token TK_SEM, Lexeme ;
Line 30: Token TK_READ, Lexeme read
Line 30: Token TK_OP, Lexeme (
Line 30: Token TK_ID, Lexeme d5cb34567
Line 30: Token TK_CL, Lexeme )
Line 30: Token TK_SEM, Lexeme ;
Line 31: Token TK_READ, Lexeme read
Line 31: Token TK_OP, Lexeme (
Line 31: Token TK_NUM, Lexeme 45
Line 31: Token TK_CL, Lexeme )
Line 31: Token TK_SEM, Lexeme ;
Line 32: Token TK_READ, Lexeme read
Line 32: Token TK_OP, Lexeme (
Line 32: Token TK_ID, Lexeme b3b444
Line 32: Token TK_CL, Lexeme )
Line 32: Token TK_SEM, Lexeme ;
Line 34: Token TK_SQL, Lexeme [
Line 34: Token TK_ID, Lexeme c3
Line 34: Token TK_SQR, Lexeme ]
Line 34: Token TK_ASSIGNOP, Lexeme <---
Line 34: Token TK_CALL, Lexeme call
Line 34: Token TK_FUNID, Lexeme _computeFunctionValue
Line 34: Token TK_WITH, Lexeme with
Line 34: Token TK_PARAMETERS, Lexeme parameters
Line 34: Token TK_SQL, Lexeme [
Line 34: Token TK_ID, Lexeme b5
Line 34: Token TK_COMMA, Lexeme ,
Line 34: Token TK_ID, Lexeme d5cb34567
Line 34: Token TK_COMMA, Lexeme ,
Line 34: Token TK_ID, Lexeme b3b444
Line 34: Token TK_SQR, Lexeme ]
Line 34: Token TK_SEM, Lexeme ;
Line 35: Token TK_WRITE, Lexeme write
Line 35: Token TK_OP, Lexeme (
Line 35: Token TK_ID, Lexeme c3
Line 35: Token TK_CL, Lexeme )
Line 35: Token TK_SEM, Lexeme ;
Line 36: Token TK_RETURN, Lexeme return
Line 36: Token TK_SEM, Lexeme ;
Line 37: Token TK_END, Lexeme end
Line 38: Token EOS, Lexeme EOS
